instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_c,atemp_c,hum_pct,windspeed_kmh,season_lbl,weather_lbl,day_segment,is_peak_hour,casual_share,registered_share
3170,2011-05-16,2,0,5,23,0,1,1,1,0.56,0.5303,0.88,0.0896,18,39,57,22.96,26.515,88.0,6.0032,Summer,Clear,Evening,0,31.57894736842105,68.42105263157895
3171,2011-05-17,2,0,5,0,0,2,1,2,0.56,0.5303,0.88,0.0,13,18,31,22.96,26.515,88.0,0.0,Summer,Mist,Night,0,41.935483870967744,58.06451612903226
3172,2011-05-17,2,0,5,1,0,2,1,3,0.56,0.5303,0.88,0.0,7,6,13,22.96,26.515,88.0,0.0,Summer,Light Precip,Night,0,53.84615384615385,46.15384615384615
3173,2011-05-17,2,0,5,2,0,2,1,3,0.56,0.5303,0.88,0.0,4,4,8,22.96,26.515,88.0,0.0,Summer,Light Precip,Night,0,50.0,50.0
3174,2011-05-17,2,0,5,3,0,2,1,3,0.54,0.5152,0.94,0.2537,1,3,4,22.14,25.759999999999998,94.0,16.997899999999998,Summer,Light Precip,Night,0,25.0,75.0
3175,2011-05-17,2,0,5,4,0,2,1,3,0.54,0.5152,0.94,0.2537,2,2,4,22.14,25.759999999999998,94.0,16.997899999999998,Summer,Light Precip,Night,0,50.0,50.0
3176,2011-05-17,2,0,5,5,0,2,1,3,0.52,0.5,0.94,0.2537,0,22,22,21.32,25.0,94.0,16.997899999999998,Summer,Light Precip,Night,0,0.0,100.0
3177,2011-05-17,2,0,5,6,0,2,1,3,0.52,0.5,0.94,0.2537,0,49,49,21.32,25.0,94.0,16.997899999999998,Summer,Light Precip,Morning,0,0.0,100.0
3178,2011-05-17,2,0,5,7,0,2,1,2,0.52,0.5,0.94,0.2537,13,138,151,21.32,25.0,94.0,16.997899999999998,Summer,Mist,Morning,1,8.609271523178808,91.3907284768212
3179,2011-05-17,2,0,5,8,0,2,1,2,0.52,0.5,0.94,0.2985,22,325,347,21.32,25.0,94.0,19.999499999999998,Summer,Mist,Morning,1,6.340057636887608,93.65994236311239
3180,2011-05-17,2,0,5,9,0,2,1,2,0.54,0.5152,0.88,0.2537,17,190,207,22.14,25.759999999999998,88.0,16.997899999999998,Summer,Mist,Morning,1,8.212560386473431,91.78743961352657
3181,2011-05-17,2,0,5,10,0,2,1,3,0.54,0.5152,0.88,0.2537,31,73,104,22.14,25.759999999999998,88.0,16.997899999999998,Summer,Light Precip,Morning,0,29.807692307692307,70.1923076923077
3182,2011-05-17,2,0,5,11,0,2,1,2,0.56,0.5303,0.83,0.4179,26,104,130,22.96,26.515,83.0,27.999299999999998,Summer,Mist,Morning,0,20.0,80.0
3183,2011-05-17,2,0,5,12,0,2,1,3,0.56,0.5303,0.83,0.4179,38,115,153,22.96,26.515,83.0,27.999299999999998,Summer,Light Precip,Afternoon,0,24.836601307189543,75.16339869281046
3184,2011-05-17,2,0,5,13,0,2,1,2,0.56,0.5303,0.88,0.3284,31,141,172,22.96,26.515,88.0,22.0028,Summer,Mist,Afternoon,0,18.023255813953487,81.97674418604652
3185,2011-05-17,2,0,5,14,0,2,1,1,0.62,0.5909,0.73,0.4627,61,123,184,25.419999999999998,29.544999999999998,73.0,31.0009,Summer,Clear,Afternoon,0,33.15217391304348,66.84782608695652
3186,2011-05-17,2,0,5,15,0,2,1,1,0.62,0.6061,0.69,0.4478,79,131,210,25.419999999999998,30.305,69.0,30.002599999999997,Summer,Clear,Afternoon,0,37.61904761904762,62.38095238095238
3187,2011-05-17,2,0,5,16,0,2,1,1,0.62,0.6061,0.61,0.3284,73,217,290,25.419999999999998,30.305,61.0,22.0028,Summer,Clear,Afternoon,0,25.17241379310345,74.82758620689656
3188,2011-05-17,2,0,5,17,0,2,1,1,0.62,0.6061,0.65,0.4179,83,521,604,25.419999999999998,30.305,65.0,27.999299999999998,Summer,Clear,Afternoon,1,13.741721854304636,86.25827814569537
3189,2011-05-17,2,0,5,18,0,2,1,1,0.6,0.5909,0.69,0.2985,54,426,480,24.599999999999998,29.544999999999998,69.0,19.999499999999998,Summer,Clear,Evening,1,11.25,88.75
3190,2011-05-17,2,0,5,19,0,2,1,1,0.6,0.5909,0.69,0.2537,51,298,349,24.599999999999998,29.544999999999998,69.0,16.997899999999998,Summer,Clear,Evening,1,14.613180515759314,85.38681948424069
3191,2011-05-17,2,0,5,20,0,2,1,1,0.58,0.5455,0.83,0.4179,30,253,283,23.779999999999998,27.275,83.0,27.999299999999998,Summer,Clear,Evening,0,10.60070671378092,89.39929328621908
3192,2011-05-17,2,0,5,21,0,2,1,1,0.54,0.5152,0.88,0.2537,23,151,174,22.14,25.759999999999998,88.0,16.997899999999998,Summer,Clear,Evening,0,13.218390804597702,86.7816091954023
3193,2011-05-17,2,0,5,22,0,2,1,2,0.54,0.5152,0.88,0.2836,12,86,98,22.14,25.759999999999998,88.0,19.0012,Summer,Mist,Evening,0,12.244897959183673,87.75510204081633
3194,2011-05-17,2,0,5,23,0,2,1,2,0.54,0.5152,0.88,0.2537,7,49,56,22.14,25.759999999999998,88.0,16.997899999999998,Summer,Mist,Evening,0,12.5,87.5
3195,2011-05-18,2,0,5,0,0,3,1,2,0.54,0.5152,0.88,0.2239,8,15,23,22.14,25.759999999999998,88.0,15.001299999999999,Summer,Mist,Night,0,34.78260869565217,65.21739130434783
3196,2011-05-18,2,0,5,1,0,3,1,2,0.54,0.5152,0.88,0.2537,3,9,12,22.14,25.759999999999998,88.0,16.997899999999998,Summer,Mist,Night,0,25.0,75.0
3197,2011-05-18,2,0,5,2,0,3,1,3,0.52,0.5,0.94,0.2239,1,5,6,21.32,25.0,94.0,15.001299999999999,Summer,Light Precip,Night,0,16.666666666666664,83.33333333333334
3198,2011-05-18,2,0,5,3,0,3,1,3,0.52,0.5,0.94,0.2985,6,3,9,21.32,25.0,94.0,19.999499999999998,Summer,Light Precip,Night,0,66.66666666666666,33.33333333333333
3199,2011-05-18,2,0,5,4,0,3,1,3,0.52,0.5,0.94,0.2985,1,2,3,21.32,25.0,94.0,19.999499999999998,Summer,Light Precip,Night,0,33.33333333333333,66.66666666666666
3200,2011-05-18,2,0,5,5,0,3,1,1,0.52,0.5,1.0,0.2239,0,9,9,21.32,25.0,100.0,15.001299999999999,Summer,Clear,Night,0,0.0,100.0
3201,2011-05-18,2,0,5,6,0,3,1,1,0.52,0.5,1.0,0.1343,2,99,101,21.32,25.0,100.0,8.9981,Summer,Clear,Morning,0,1.9801980198019802,98.01980198019803
3202,2011-05-18,2,0,5,7,0,3,1,1,0.54,0.5152,0.88,0.194,14,260,274,22.14,25.759999999999998,88.0,12.998000000000001,Summer,Clear,Morning,1,5.109489051094891,94.8905109489051
3203,2011-05-18,2,0,5,8,0,3,1,1,0.56,0.5303,0.88,0.2836,25,428,453,22.96,26.515,88.0,19.0012,Summer,Clear,Morning,1,5.518763796909492,94.48123620309052
3204,2011-05-18,2,0,5,9,0,3,1,3,0.56,0.5303,0.83,0.2537,26,176,202,22.96,26.515,83.0,16.997899999999998,Summer,Light Precip,Morning,1,12.871287128712872,87.12871287128714
3205,2011-05-18,2,0,5,10,0,3,1,3,0.54,0.5152,0.88,0.2836,33,73,106,22.14,25.759999999999998,88.0,19.0012,Summer,Light Precip,Morning,0,31.132075471698112,68.86792452830188
3206,2011-05-18,2,0,5,11,0,3,1,2,0.54,0.5152,0.94,0.0896,6,17,23,22.14,25.759999999999998,94.0,6.0032,Summer,Mist,Morning,0,26.08695652173913,73.91304347826086
3207,2011-05-18,2,0,5,12,0,3,1,1,0.56,0.5303,0.94,0.2985,12,42,54,22.96,26.515,94.0,19.999499999999998,Summer,Clear,Afternoon,0,22.22222222222222,77.77777777777779
3208,2011-05-18,2,0,5,13,0,3,1,2,0.56,0.5303,0.83,0.3284,30,92,122,22.96,26.515,83.0,22.0028,Summer,Mist,Afternoon,0,24.59016393442623,75.40983606557377
3209,2011-05-18,2,0,5,14,0,3,1,2,0.58,0.5455,0.78,0.2836,44,94,138,23.779999999999998,27.275,78.0,19.0012,Summer,Mist,Afternoon,0,31.88405797101449,68.11594202898551
3210,2011-05-18,2,0,5,15,0,3,1,1,0.6,0.5758,0.78,0.2537,34,133,167,24.599999999999998,28.79,78.0,16.997899999999998,Summer,Clear,Afternoon,0,20.35928143712575,79.64071856287424
3211,2011-05-18,2,0,5,16,0,3,1,1,0.6,0.5909,0.73,0.194,53,241,294,24.599999999999998,29.544999999999998,73.0,12.998000000000001,Summer,Clear,Afternoon,0,18.027210884353742,81.97278911564626
3212,2011-05-18,2,0,5,17,0,3,1,1,0.6,0.5909,0.69,0.1343,78,487,565,24.599999999999998,29.544999999999998,69.0,8.9981,Summer,Clear,Afternoon,1,13.805309734513274,86.19469026548673
3213,2011-05-18,2,0,5,18,0,3,1,1,0.6,0.5909,0.73,0.2239,58,431,489,24.599999999999998,29.544999999999998,73.0,15.001299999999999,Summer,Clear,Evening,1,11.860940695296524,88.13905930470347
3214,2011-05-18,2,0,5,19,0,3,1,3,0.56,0.5303,0.88,0.1343,43,288,331,22.96,26.515,88.0,8.9981,Summer,Light Precip,Evening,1,12.990936555891238,87.00906344410876
3215,2011-05-18,2,0,5,20,0,3,1,3,0.56,0.5303,0.88,0.1343,24,189,213,22.96,26.515,88.0,8.9981,Summer,Light Precip,Evening,0,11.267605633802818,88.73239436619718
3216,2011-05-18,2,0,5,21,0,3,1,1,0.52,0.5,0.88,0.0,11,74,85,21.32,25.0,88.0,0.0,Summer,Clear,Evening,0,12.941176470588237,87.05882352941177
3217,2011-05-18,2,0,5,22,0,3,1,1,0.52,0.5,0.83,0.0,14,103,117,21.32,25.0,83.0,0.0,Summer,Clear,Evening,0,11.965811965811966,88.03418803418803
3218,2011-05-18,2,0,5,23,0,3,1,1,0.52,0.5,0.94,0.0896,10,49,59,21.32,25.0,94.0,6.0032,Summer,Clear,Evening,0,16.94915254237288,83.05084745762711
3219,2011-05-19,2,0,5,0,0,4,1,1,0.52,0.5,0.94,0.1045,6,23,29,21.32,25.0,94.0,7.0015,Summer,Clear,Night,0,20.689655172413794,79.3103448275862
3220,2011-05-19,2,0,5,1,0,4,1,1,0.5,0.4848,0.94,0.0,2,4,6,20.5,24.240000000000002,94.0,0.0,Summer,Clear,Night,0,33.33333333333333,66.66666666666666
3221,2011-05-19,2,0,5,2,0,4,1,1,0.5,0.4848,0.94,0.0,3,12,15,20.5,24.240000000000002,94.0,0.0,Summer,Clear,Night,0,20.0,80.0
3222,2011-05-19,2,0,5,3,0,4,1,1,0.48,0.4697,1.0,0.0,1,3,4,19.68,23.485,100.0,0.0,Summer,Clear,Night,0,25.0,75.0
3223,2011-05-19,2,0,5,4,0,4,1,1,0.48,0.4697,0.94,0.0,2,3,5,19.68,23.485,94.0,0.0,Summer,Clear,Night,0,40.0,60.0
3224,2011-05-19,2,0,5,5,0,4,1,1,0.48,0.4697,0.94,0.0,2,24,26,19.68,23.485,94.0,0.0,Summer,Clear,Night,0,7.6923076923076925,92.3076923076923
3225,2011-05-19,2,0,5,6,0,4,1,2,0.5,0.4848,0.94,0.0,17,86,103,20.5,24.240000000000002,94.0,0.0,Summer,Mist,Morning,0,16.50485436893204,83.49514563106796
3226,2011-05-19,2,0,5,7,0,4,1,2,0.5,0.4848,1.0,0.0,18,239,257,20.5,24.240000000000002,100.0,0.0,Summer,Mist,Morning,1,7.003891050583658,92.99610894941634
3227,2011-05-19,2,0,5,8,0,4,1,2,0.52,0.5,0.88,0.0,34,453,487,21.32,25.0,88.0,0.0,Summer,Mist,Morning,1,6.981519507186857,93.01848049281314
3228,2011-05-19,2,0,5,9,0,4,1,2,0.54,0.5152,0.88,0.0896,40,176,216,22.14,25.759999999999998,88.0,6.0032,Summer,Mist,Morning,1,18.51851851851852,81.48148148148148
3229,2011-05-19,2,0,5,10,0,4,1,2,0.54,0.5152,0.83,0.0,35,95,130,22.14,25.759999999999998,83.0,0.0,Summer,Mist,Morning,0,26.923076923076923,73.07692307692307
3230,2011-05-19,2,0,5,11,0,4,1,3,0.54,0.5152,0.88,0.1642,53,111,164,22.14,25.759999999999998,88.0,11.0014,Summer,Light Precip,Morning,0,32.31707317073171,67.6829268292683
3231,2011-05-19,2,0,5,12,0,4,1,2,0.58,0.5455,0.78,0.1045,38,130,168,23.779999999999998,27.275,78.0,7.0015,Summer,Mist,Afternoon,0,22.61904761904762,77.38095238095238
3232,2011-05-19,2,0,5,13,0,4,1,3,0.58,0.5455,0.64,0.2537,44,139,183,23.779999999999998,27.275,64.0,16.997899999999998,Summer,Light Precip,Afternoon,0,24.043715846994534,75.95628415300546
3233,2011-05-19,2,0,5,14,0,4,1,3,0.54,0.5152,0.73,0.194,43,137,180,22.14,25.759999999999998,73.0,12.998000000000001,Summer,Light Precip,Afternoon,0,23.88888888888889,76.11111111111111
3234,2011-05-19,2,0,5,15,0,4,1,1,0.56,0.5303,0.78,0.1642,63,125,188,22.96,26.515,78.0,11.0014,Summer,Clear,Afternoon,0,33.51063829787234,66.48936170212765
3235,2011-05-19,2,0,5,16,0,4,1,1,0.58,0.5455,0.64,0.194,55,247,302,23.779999999999998,27.275,64.0,12.998000000000001,Summer,Clear,Afternoon,0,18.211920529801322,81.78807947019867
3236,2011-05-19,2,0,5,17,0,4,1,1,0.56,0.5303,0.78,0.1642,60,487,547,22.96,26.515,78.0,11.0014,Summer,Clear,Afternoon,1,10.968921389396709,89.03107861060329
3237,2011-05-19,2,0,5,18,0,4,1,1,0.6,0.6212,0.55,0.1642,59,454,513,24.599999999999998,31.06,55.00000000000001,11.0014,Summer,Clear,Evening,1,11.500974658869396,88.4990253411306
3238,2011-05-19,2,0,5,19,0,4,1,1,0.58,0.5455,0.6,0.1343,65,345,410,23.779999999999998,27.275,60.0,8.9981,Summer,Clear,Evening,1,15.853658536585366,84.14634146341463
3239,2011-05-19,2,0,5,20,0,4,1,1,0.54,0.5152,0.77,0.2836,46,236,282,22.14,25.759999999999998,77.0,19.0012,Summer,Clear,Evening,0,16.312056737588655,83.68794326241135
3240,2011-05-19,2,0,5,21,0,4,1,1,0.54,0.5152,0.77,0.2836,29,180,209,22.14,25.759999999999998,77.0,19.0012,Summer,Clear,Evening,0,13.875598086124402,86.1244019138756
3241,2011-05-19,2,0,5,22,0,4,1,3,0.5,0.4848,0.82,0.2985,11,68,79,20.5,24.240000000000002,82.0,19.999499999999998,Summer,Light Precip,Evening,0,13.924050632911392,86.07594936708861
3242,2011-05-19,2,0,5,23,0,4,1,1,0.48,0.4697,0.94,0.0,9,63,72,19.68,23.485,94.0,0.0,Summer,Clear,Evening,0,12.5,87.5
3243,2011-05-20,2,0,5,0,0,5,1,1,0.46,0.4545,0.94,0.0896,15,33,48,18.86,22.725,94.0,6.0032,Summer,Clear,Night,0,31.25,68.75
3244,2011-05-20,2,0,5,1,0,5,1,1,0.46,0.4545,1.0,0.0,8,17,25,18.86,22.725,100.0,0.0,Summer,Clear,Night,0,32.0,68.0
3245,2011-05-20,2,0,5,2,0,5,1,1,0.44,0.4394,1.0,0.0896,4,4,8,18.04,21.97,100.0,6.0032,Summer,Clear,Night,0,50.0,50.0
3246,2011-05-20,2,0,5,3,0,5,1,1,0.44,0.4394,1.0,0.0,1,4,5,18.04,21.97,100.0,0.0,Summer,Clear,Night,0,20.0,80.0
3247,2011-05-20,2,0,5,4,0,5,1,1,0.44,0.4394,0.94,0.0896,1,4,5,18.04,21.97,94.0,6.0032,Summer,Clear,Night,0,20.0,80.0
3248,2011-05-20,2,0,5,5,0,5,1,1,0.44,0.4394,0.94,0.1045,0,28,28,18.04,21.97,94.0,7.0015,Summer,Clear,Night,0,0.0,100.0
3249,2011-05-20,2,0,5,6,0,5,1,1,0.46,0.4545,0.88,0.1045,15,102,117,18.86,22.725,88.0,7.0015,Summer,Clear,Morning,0,12.82051282051282,87.17948717948718
3250,2011-05-20,2,0,5,7,0,5,1,1,0.5,0.4848,0.77,0.1642,30,289,319,20.5,24.240000000000002,77.0,11.0014,Summer,Clear,Morning,1,9.404388714733543,90.59561128526646
3251,2011-05-20,2,0,5,8,0,5,1,1,0.54,0.5152,0.68,0.0,41,476,517,22.14,25.759999999999998,68.0,0.0,Summer,Clear,Morning,1,7.930367504835589,92.06963249516441
3252,2011-05-20,2,0,5,9,0,5,1,1,0.54,0.5152,0.68,0.2239,35,199,234,22.14,25.759999999999998,68.0,15.001299999999999,Summer,Clear,Morning,1,14.957264957264957,85.04273504273505
3253,2011-05-20,2,0,5,10,0,5,1,1,0.56,0.5303,0.64,0.194,44,104,148,22.96,26.515,64.0,12.998000000000001,Summer,Clear,Morning,0,29.72972972972973,70.27027027027027
3254,2011-05-20,2,0,5,11,0,5,1,2,0.58,0.5455,0.6,0.194,63,133,196,23.779999999999998,27.275,60.0,12.998000000000001,Summer,Mist,Morning,0,32.142857142857146,67.85714285714286
3255,2011-05-20,2,0,5,12,0,5,1,2,0.6,0.6212,0.56,0.2537,69,186,255,24.599999999999998,31.06,56.00000000000001,16.997899999999998,Summer,Mist,Afternoon,0,27.058823529411764,72.94117647058823
3256,2011-05-20,2,0,5,13,0,5,1,3,0.6,0.6212,0.56,0.2836,60,172,232,24.599999999999998,31.06,56.00000000000001,19.0012,Summer,Light Precip,Afternoon,0,25.862068965517242,74.13793103448276
3257,2011-05-20,2,0,5,14,0,5,1,1,0.62,0.6212,0.53,0.2239,66,131,197,25.419999999999998,31.06,53.0,15.001299999999999,Summer,Clear,Afternoon,0,33.50253807106599,66.49746192893402
3258,2011-05-20,2,0,5,15,0,5,1,2,0.6,0.6212,0.56,0.194,74,168,242,24.599999999999998,31.06,56.00000000000001,12.998000000000001,Summer,Mist,Afternoon,0,30.57851239669421,69.42148760330579
3259,2011-05-20,2,0,5,16,0,5,1,2,0.6,0.6212,0.53,0.1642,61,269,330,24.599999999999998,31.06,53.0,11.0014,Summer,Mist,Afternoon,0,18.484848484848484,81.51515151515152
3260,2011-05-20,2,0,5,17,0,5,1,1,0.62,0.6212,0.53,0.0,71,483,554,25.419999999999998,31.06,53.0,0.0,Summer,Clear,Afternoon,1,12.815884476534295,87.18411552346569
3261,2011-05-20,2,0,5,18,0,5,1,1,0.6,0.6212,0.56,0.1642,79,394,473,24.599999999999998,31.06,56.00000000000001,11.0014,Summer,Clear,Evening,1,16.701902748414376,83.29809725158562
3262,2011-05-20,2,0,5,19,0,5,1,1,0.58,0.5455,0.64,0.0896,49,253,302,23.779999999999998,27.275,64.0,6.0032,Summer,Clear,Evening,1,16.225165562913908,83.77483443708608
3263,2011-05-20,2,0,5,20,0,5,1,1,0.58,0.5455,0.64,0.1045,40,180,220,23.779999999999998,27.275,64.0,7.0015,Summer,Clear,Evening,0,18.181818181818183,81.81818181818183
3264,2011-05-20,2,0,5,21,0,5,1,1,0.56,0.5303,0.64,0.1045,40,155,195,22.96,26.515,64.0,7.0015,Summer,Clear,Evening,0,20.51282051282051,79.48717948717949
3265,2011-05-20,2,0,5,22,0,5,1,1,0.54,0.5152,0.73,0.0,28,124,152,22.14,25.759999999999998,73.0,0.0,Summer,Clear,Evening,0,18.421052631578945,81.57894736842105
3266,2011-05-20,2,0,5,23,0,5,1,1,0.52,0.5,0.72,0.1642,15,100,115,21.32,25.0,72.0,11.0014,Summer,Clear,Evening,0,13.043478260869565,86.95652173913044
3267,2011-05-21,2,0,5,0,0,6,0,1,0.52,0.5,0.77,0.1045,20,78,98,21.32,25.0,77.0,7.0015,Summer,Clear,Night,0,20.408163265306122,79.59183673469387
3268,2011-05-21,2,0,5,1,0,6,0,1,0.52,0.5,0.72,0.0,8,64,72,21.32,25.0,72.0,0.0,Summer,Clear,Night,0,11.11111111111111,88.88888888888889
3269,2011-05-21,2,0,5,2,0,6,0,1,0.52,0.5,0.72,0.1045,5,35,40,21.32,25.0,72.0,7.0015,Summer,Clear,Night,0,12.5,87.5
3270,2011-05-21,2,0,5,3,0,6,0,1,0.48,0.4697,0.82,0.1045,7,12,19,19.68,23.485,82.0,7.0015,Summer,Clear,Night,0,36.84210526315789,63.1578947368421
3271,2011-05-21,2,0,5,4,0,6,0,1,0.46,0.4545,0.88,0.1343,1,6,7,18.86,22.725,88.0,8.9981,Summer,Clear,Night,0,14.285714285714285,85.71428571428571
3272,2011-05-21,2,0,5,5,0,6,0,1,0.46,0.4545,0.88,0.1045,1,4,5,18.86,22.725,88.0,7.0015,Summer,Clear,Night,0,20.0,80.0
3273,2011-05-21,2,0,5,6,0,6,0,1,0.5,0.4848,0.82,0.1343,6,22,28,20.5,24.240000000000002,82.0,8.9981,Summer,Clear,Morning,0,21.428571428571427,78.57142857142857
3274,2011-05-21,2,0,5,7,0,6,0,1,0.54,0.5152,0.73,0.1343,10,33,43,22.14,25.759999999999998,73.0,8.9981,Summer,Clear,Morning,0,23.25581395348837,76.74418604651163
3275,2011-05-21,2,0,5,8,0,6,0,1,0.56,0.5303,0.68,0.2836,29,97,126,22.96,26.515,68.0,19.0012,Summer,Clear,Morning,0,23.015873015873016,76.98412698412699
3276,2011-05-21,2,0,5,9,0,6,0,1,0.6,0.6061,0.64,0.2239,60,165,225,24.599999999999998,30.305,64.0,15.001299999999999,Summer,Clear,Morning,0,26.666666666666668,73.33333333333333
3277,2011-05-21,2,0,5,10,0,6,0,1,0.62,0.6061,0.61,0.1045,122,201,323,25.419999999999998,30.305,61.0,7.0015,Summer,Clear,Morning,0,37.77089783281733,62.22910216718266
3278,2011-05-21,2,0,5,11,0,6,0,1,0.64,0.6212,0.53,0.1343,173,245,418,26.240000000000002,31.06,53.0,8.9981,Summer,Clear,Morning,0,41.38755980861244,58.61244019138756
3279,2011-05-21,2,0,5,12,0,6,0,1,0.66,0.6212,0.5,0.0,222,271,493,27.060000000000002,31.06,50.0,0.0,Summer,Clear,Afternoon,0,45.030425963488845,54.96957403651116
3280,2011-05-21,2,0,5,13,0,6,0,1,0.7,0.6364,0.45,0.0,191,271,462,28.7,31.819999999999997,45.0,0.0,Summer,Clear,Afternoon,0,41.34199134199134,58.658008658008654
3281,2011-05-21,2,0,5,14,0,6,0,1,0.72,0.6515,0.42,0.0,187,269,456,29.52,32.574999999999996,42.0,0.0,Summer,Clear,Afternoon,0,41.00877192982456,58.99122807017544
3282,2011-05-21,2,0,5,15,0,6,0,1,0.72,0.6515,0.45,0.2537,232,274,506,29.52,32.574999999999996,45.0,16.997899999999998,Summer,Clear,Afternoon,0,45.8498023715415,54.1501976284585
3283,2011-05-21,2,0,5,16,0,6,0,2,0.72,0.6515,0.39,0.2537,204,267,471,29.52,32.574999999999996,39.0,16.997899999999998,Summer,Mist,Afternoon,0,43.31210191082803,56.68789808917197
3284,2011-05-21,2,0,5,17,0,6,0,2,0.72,0.6515,0.42,0.1642,191,253,444,29.52,32.574999999999996,42.0,11.0014,Summer,Mist,Afternoon,0,43.01801801801802,56.981981981981974
3285,2011-05-21,2,0,5,18,0,6,0,2,0.7,0.6364,0.45,0.1642,191,253,444,28.7,31.819999999999997,45.0,11.0014,Summer,Mist,Evening,0,43.01801801801802,56.981981981981974
3286,2011-05-21,2,0,5,19,0,6,0,1,0.68,0.6364,0.47,0.1642,117,184,301,27.880000000000003,31.819999999999997,47.0,11.0014,Summer,Clear,Evening,0,38.87043189368771,61.12956810631229
3287,2011-05-21,2,0,5,20,0,6,0,1,0.62,0.6061,0.61,0.0,84,164,248,25.419999999999998,30.305,61.0,0.0,Summer,Clear,Evening,0,33.87096774193548,66.12903225806451
3288,2011-05-21,2,0,5,21,0,6,0,1,0.62,0.6061,0.61,0.1045,77,150,227,25.419999999999998,30.305,61.0,7.0015,Summer,Clear,Evening,0,33.92070484581498,66.07929515418502
3289,2011-05-21,2,0,5,22,0,6,0,1,0.6,0.5909,0.69,0.1343,78,126,204,24.599999999999998,29.544999999999998,69.0,8.9981,Summer,Clear,Evening,0,38.23529411764706,61.76470588235294
3290,2011-05-21,2,0,5,23,0,6,0,1,0.58,0.5455,0.78,0.0896,42,103,145,23.779999999999998,27.275,78.0,6.0032,Summer,Clear,Evening,0,28.965517241379313,71.03448275862068
3291,2011-05-22,2,0,5,0,0,0,0,1,0.54,0.5152,0.88,0.1642,31,100,131,22.14,25.759999999999998,88.0,11.0014,Summer,Clear,Night,0,23.66412213740458,76.33587786259542
3292,2011-05-22,2,0,5,1,0,0,0,1,0.52,0.5,0.94,0.1343,17,81,98,21.32,25.0,94.0,8.9981,Summer,Clear,Night,0,17.346938775510203,82.6530612244898
3293,2011-05-22,2,0,5,2,0,0,0,1,0.52,0.5,0.94,0.1045,18,50,68,21.32,25.0,94.0,7.0015,Summer,Clear,Night,0,26.47058823529412,73.52941176470588
3294,2011-05-22,2,0,5,3,0,0,0,1,0.5,0.4848,1.0,0.1045,10,23,33,20.5,24.240000000000002,100.0,7.0015,Summer,Clear,Night,0,30.303030303030305,69.6969696969697
3295,2011-05-22,2,0,5,4,0,0,0,1,0.5,0.4848,1.0,0.0,3,9,12,20.5,24.240000000000002,100.0,0.0,Summer,Clear,Night,0,25.0,75.0
3296,2011-05-22,2,0,5,5,0,0,0,1,0.5,0.4848,1.0,0.1045,1,5,6,20.5,24.240000000000002,100.0,7.0015,Summer,Clear,Night,0,16.666666666666664,83.33333333333334
3297,2011-05-22,2,0,5,6,0,0,0,1,0.52,0.5,0.94,0.1045,5,13,18,21.32,25.0,94.0,7.0015,Summer,Clear,Morning,0,27.77777777777778,72.22222222222221
3298,2011-05-22,2,0,5,7,0,0,0,1,0.54,0.5152,0.88,0.1045,13,27,40,22.14,25.759999999999998,88.0,7.0015,Summer,Clear,Morning,0,32.5,67.5
3299,2011-05-22,2,0,5,8,0,0,0,1,0.6,0.5909,0.73,0.0896,29,65,94,24.599999999999998,29.544999999999998,73.0,6.0032,Summer,Clear,Morning,0,30.851063829787233,69.14893617021278
3300,2011-05-22,2,0,5,9,0,0,0,1,0.62,0.6061,0.69,0.1045,59,130,189,25.419999999999998,30.305,69.0,7.0015,Summer,Clear,Morning,0,31.216931216931215,68.78306878306879
3301,2011-05-22,2,0,5,10,0,0,0,1,0.64,0.6061,0.65,0.1343,135,170,305,26.240000000000002,30.305,65.0,8.9981,Summer,Clear,Morning,0,44.26229508196721,55.73770491803278
3302,2011-05-22,2,0,5,11,0,0,0,1,0.7,0.6515,0.54,0.194,164,209,373,28.7,32.574999999999996,54.0,12.998000000000001,Summer,Clear,Morning,0,43.96782841823057,56.03217158176944
3303,2011-05-22,2,0,5,12,0,0,0,2,0.72,0.6667,0.51,0.194,146,255,401,29.52,33.335,51.0,12.998000000000001,Summer,Mist,Afternoon,0,36.408977556109726,63.591022443890274
3304,2011-05-22,2,0,5,13,0,0,0,2,0.66,0.6212,0.54,0.2239,180,275,455,27.060000000000002,31.06,54.0,15.001299999999999,Summer,Mist,Afternoon,0,39.56043956043956,60.43956043956044
3305,2011-05-22,2,0,5,14,0,0,0,3,0.62,0.6061,0.69,0.194,125,191,316,25.419999999999998,30.305,69.0,12.998000000000001,Summer,Light Precip,Afternoon,0,39.55696202531646,60.44303797468354
3306,2011-05-22,2,0,5,15,0,0,0,2,0.66,0.6212,0.61,0.1642,110,221,331,27.060000000000002,31.06,61.0,11.0014,Summer,Mist,Afternoon,0,33.23262839879154,66.76737160120845
3307,2011-05-22,2,0,5,16,0,0,0,1,0.68,0.6364,0.61,0.1343,72,201,273,27.880000000000003,31.819999999999997,61.0,8.9981,Summer,Clear,Afternoon,0,26.373626373626376,73.62637362637363
3308,2011-05-22,2,0,5,17,0,0,0,1,0.7,0.6515,0.58,0.2537,93,213,306,28.7,32.574999999999996,57.99999999999999,16.997899999999998,Summer,Clear,Afternoon,0,30.392156862745097,69.6078431372549
